FineTuningJobEvent(id='ftevent-Vg0LwB2mdCJXfOsN0oeQlqWq', created_at=1738234357, level='info', message='Step 72/150: training loss=0.16', object='fine_tuning.job.event', data={'step': 72, 'train_loss': 0.15716063976287842, 'total_steps': 150, 'train_mean_token_accuracy': 0.9672130942344666}, type='metrics')

FineTuningJobEvent(id='ftevent-EksfFSM8r0ZuHMq9qWVPwtUO', created_at=1738234357, level='info', message='Step 71/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 71, 'train_loss': 0.009715676307678223, 'total_steps': 150, 'train_mean_token_accuracy': 0.9921875}, type='metrics')

FineTuningJobEvent(id='ftevent-zYG9hTBVSsafIoTzhWwwqdLo', created_at=1738234355, level='info', message='Step 70/150: training loss=0.19', object='fine_tuning.job.event', data={'step': 70, 'train_loss': 0.19311803579330444, 'total_steps': 150, 'train_mean_token_accuracy': 0.9724770784378052}, type='metrics')

FineTuningJobEvent(id='ftevent-PfBHopFtmxoru2Ya0j3iFiG7', created_at=1738234349, level='info', message='Step 69/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 69, 'train_loss': 0.0010687276953831315, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-xOHzzArm0ezFeKoSEpD6IjjG', created_at=1738234349, level='info', message='Step 68/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 68, 'train_loss': 0.006557886488735676, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-nxamfdZxg4D4PqpjCtbBGF0O', created_at=1738234349, level='info', message='Step 67/150: training loss=0.02', object='fine_tuning.job.event', data={'step': 67, 'train_loss': 0.01598195917904377, 'total_steps': 150, 'train_mean_token_accuracy': 0.9912280440330505}, type='metrics')

FineTuningJobEvent(id='ftevent-06aPlg70C0qmYM3efsClquyZ', created_at=1738234349, level='info', message='Step 66/150: training loss=0.09', object='fine_tuning.job.event', data={'step': 66, 'train_loss': 0.08570951223373413, 'total_steps': 150, 'train_mean_token_accuracy': 0.9781022071838379}, type='metrics')

FineTuningJobEvent(id='ftevent-48AGDlS0vzHeBstr82mhmjWn', created_at=1738234349, level='info', message='Step 65/150: training loss=0.01', object='fine_tuning.job.event', data={'step': 65, 'train_loss': 0.00522359786555171, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-q6cgPTr2bG3aE9jnJdaiCcue', created_at=1738234348, level='info', message='Step 64/150: training loss=0.14', object='fine_tuning.job.event', data={'step': 64, 'train_loss': 0.1353704333305359, 'total_steps': 150, 'train_mean_token_accuracy': 0.9612902998924255}, type='metrics')

FineTuningJobEvent(id='ftevent-Osrm9hWDRQgihiqkZQTCdRLv', created_at=1738234341, level='info', message='Step 63/150: training loss=0.07', object='fine_tuning.job.event', data={'step': 63, 'train_loss': 0.06779280304908752, 'total_steps': 150, 'train_mean_token_accuracy': 0.9685039520263672}, type='metrics')

FineTuningJobEvent(id='ftevent-g7NpFM9vLLhQQWPN9sp2YFTF', created_at=1738234341, level='info', message='Step 62/150: training loss=0.05', object='fine_tuning.job.event', data={'step': 62, 'train_loss': 0.05384126305580139, 'total_steps': 150, 'train_mean_token_accuracy': 0.9915966391563416}, type='metrics')

FineTuningJobEvent(id='ftevent-X6bfSlOWe0kQDm7Jc4FD3zmf', created_at=1738234341, level='info', message='Step 61/150: training loss=0.00', object='fine_tuning.job.event', data={'step': 61, 'train_loss': 0.0027570812962949276, 'total_steps': 150, 'train_mean_token_accuracy': 1.0}, type='metrics')

