FineTuningJobEvent(id='ftevent-OQTmimjZSZiLexVukhdPHNX6', created_at=1740464252, level='info', message='Step 39/96: training loss=0.02', object='fine_tuning.job.event', data={'step': 39, 'train_loss': 0.019001685082912445, 'total_steps': 96, 'train_mean_token_accuracy': 0.997032642364502}, type='metrics')

FineTuningJobEvent(id='ftevent-DKw6GfZnVg8xMkES8t1PKIDw', created_at=1740464252, level='info', message='Step 38/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 38, 'train_loss': 0.000503731775097549, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-VL4a6akgj0kxNDDqDYWev59g', created_at=1740464252, level='info', message='Step 37/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 37, 'train_loss': 0.003938308916985989, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-HVQfedK1bOIIpUmP0VssnCFn', created_at=1740464248, level='info', message='Step 36/96: training loss=0.02', object='fine_tuning.job.event', data={'step': 36, 'train_loss': 0.018285565078258514, 'total_steps': 96, 'train_mean_token_accuracy': 0.9911110997200012}, type='metrics')

FineTuningJobEvent(id='ftevent-qT8ZSK6D5oNWAgR94PClhexq', created_at=1740464246, level='info', message='Step 35/96: training loss=0.04', object='fine_tuning.job.event', data={'step': 35, 'train_loss': 0.04041288420557976, 'total_steps': 96, 'train_mean_token_accuracy': 0.9864253401756287}, type='metrics')

FineTuningJobEvent(id='ftevent-CYiJXinXAoUkg4lY3d2D8hP0', created_at=1740464242, level='info', message='Step 34/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 34, 'train_loss': 0.000852079363539815, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-OvuNi9hYYXevdUdFD79DNyXi', created_at=1740464236, level='info', message='Step 33/96: training loss=0.05', object='fine_tuning.job.event', data={'step': 33, 'train_loss': 0.05234101414680481, 'total_steps': 96, 'train_mean_token_accuracy': 0.9869706630706787}, type='metrics')

FineTuningJobEvent(id='ftevent-QDzlocKj6OJwdYWVp51pTaMm', created_at=1740464212, level='info', message='Step 32/96: training loss=0.01', object='fine_tuning.job.event', data={'step': 32, 'train_loss': 0.0114022521302104, 'total_steps': 96, 'train_mean_token_accuracy': 0.9959999918937683}, type='metrics')

FineTuningJobEvent(id='ftevent-6VjudFl9ZiUPBpxVsVaEtPnu', created_at=1740464207, level='info', message='Step 31/96: training loss=0.06', object='fine_tuning.job.event', data={'step': 31, 'train_loss': 0.05556546524167061, 'total_steps': 96, 'train_mean_token_accuracy': 0.9844357967376709}, type='metrics')

FineTuningJobEvent(id='ftevent-P33NAtBQ1ampXiUHZMJYkpv7', created_at=1740464206, level='info', message='Step 30/96: training loss=0.02', object='fine_tuning.job.event', data={'step': 30, 'train_loss': 0.019760258495807648, 'total_steps': 96, 'train_mean_token_accuracy': 0.9905213117599487}, type='metrics')

FineTuningJobEvent(id='ftevent-vNUl5IgJEDNaj4YJKiC6DaOV', created_at=1740464205, level='info', message='Step 29/96: training loss=0.05', object='fine_tuning.job.event', data={'step': 29, 'train_loss': 0.0543365478515625, 'total_steps': 96, 'train_mean_token_accuracy': 0.9738805890083313}, type='metrics')
FineTuningJobEvent(id='ftevent-hZmCvx4iDDUamB7Jr79UX1v0', created_at=1740464200, level='info', message='Step 28/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 28, 'train_loss': 0.002167072147130966, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-gTcG6jq7NBlz5bnX8WLd5ZKD', created_at=1740464197, level='info', message='Step 27/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 27, 'train_loss': 0.0029267214704304934, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-mYn0LCRi9VDvymiJjelj3HyL', created_at=1740464192, level='info', message='Step 26/96: training loss=0.09', object='fine_tuning.job.event', data={'step': 26, 'train_loss': 0.09056255966424942, 'total_steps': 96, 'train_mean_token_accuracy': 0.9773755669593811}, type='metrics')

FineTuningJobEvent(id='ftevent-ys7q32qJsDPt1CfdrcfWEZQG', created_at=1740464192, level='info', message='Step 25/96: training loss=0.09', object='fine_tuning.job.event', data={'step': 25, 'train_loss': 0.0927579253911972, 'total_steps': 96, 'train_mean_token_accuracy': 0.9804560542106628}, type='metrics')

FineTuningJobEvent(id='ftevent-Tt7FkWcevrSt5alnkrLwy7YJ', created_at=1740464192, level='info', message='Step 24/96: training loss=0.06', object='fine_tuning.job.event', data={'step': 24, 'train_loss': 0.055962949991226196, 'total_steps': 96, 'train_mean_token_accuracy': 0.9911110997200012}, type='metrics')

FineTuningJobEvent(id='ftevent-fG2l0oAOCUrZ3bbP4h4QWKnU', created_at=1740464192, level='info', message='Step 23/96: training loss=0.00', object='fine_tuning.job.event', data={'step': 23, 'train_loss': 9.996462904382497e-05, 'total_steps': 96, 'train_mean_token_accuracy': 1.0}, type='metrics')

