FineTuningJobEvent(id='ftevent-5ysW3XfZo3RsaUZHNSSDTk7q', created_at=1738494125, level='info', message='The job has successfully completed', object='fine_tuning.job.event', data={}, type='message') 
FineTuningJobEvent(id='ftevent-475yzPw0ez4OXSKxsiK0BHQY', created_at=1738494008, level='info', message='Step 242/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 242, 'train_loss': 3.595519592636265e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-9zTfj8vmVHIAnUvZerPVJitz', created_at=1738494006, level='info', message='Step 241/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 241, 'train_loss': 0.0002841949462890625, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-QMOi7EbVx88fg16wPfu2TuI7', created_at=1738494004, level='info', message='Step 240/300: training loss=0.01', object='fine_tuning.job.event', data={'step': 240, 'train_loss': 0.006123560946434736, 'total_steps': 300, 'train_mean_token_accuracy': 0.9937106966972351}, type='metrics')

FineTuningJobEvent(id='ftevent-simIRy4VFchjaNCnZc11fpUI', created_at=1738494004, level='info', message='Step 239/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 239, 'train_loss': 3.0315028197946958e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-WVakLYD9FxYV6n59L0EpYuq5', created_at=1738494002, level='info', message='Step 238/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 238, 'train_loss': 4.2446874431334436e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-zcuAlG7IQimqtKbGDgUKNE26', created_at=1738494000, level='info', message='Step 237/300: training loss=0.05', object='fine_tuning.job.event', data={'step': 237, 'train_loss': 0.05373818427324295, 'total_steps': 300, 'train_mean_token_accuracy': 0.9915966391563416}, type='metrics')

FineTuningJobEvent(id='ftevent-MgvJl4lRKeCSmkUq4WqJi010', created_at=1738494000, level='info', message='Step 236/300: training loss=0.01', object='fine_tuning.job.event', data={'step': 236, 'train_loss': 0.009740733541548252, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-qhjwPhmPoUz7jX59kuqAr1YX', created_at=1738493998, level='info', message='Step 235/300: training loss=0.12', object='fine_tuning.job.event', data={'step': 235, 'train_loss': 0.11634427309036255, 'total_steps': 300, 'train_mean_token_accuracy': 0.971222996711731}, type='metrics')

FineTuningJobEvent(id='ftevent-zeGpb1zwjbbElgPkjiCv6ITw', created_at=1738493996, level='info', message='Step 234/300: training loss=0.03', object='fine_tuning.job.event', data={'step': 234, 'train_loss': 0.02572058141231537, 'total_steps': 300, 'train_mean_token_accuracy': 0.9923076629638672}, type='metrics')

FineTuningJobEvent(id='ftevent-N5Mc5gwfijq9kxZhw9qyfFPW', created_at=1738493994, level='info', message='Step 233/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 233, 'train_loss': 0.0005483554559759796, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-5qx91ruOua6rmz1YZmiejVmn', created_at=1738493992, level='info', message='Step 232/300: training loss=0.03', object='fine_tuning.job.event', data={'step': 232, 'train_loss': 0.02784419059753418, 'total_steps': 300, 'train_mean_token_accuracy': 0.9926470518112183}, type='metrics')

FineTuningJobEvent(id='ftevent-yfu19RPtEm521s2FOb2A1B4e', created_at=1738493992, level='info', message='Step 231/300: training loss=0.03', object='fine_tuning.job.event', data={'step': 231, 'train_loss': 0.029674455523490906, 'total_steps': 300, 'train_mean_token_accuracy': 0.9844961166381836}, type='metrics')

FineTuningJobEvent(id='ftevent-uOO9Skt2esxSeEM25bXnAJO4', created_at=1738493990, level='info', message='Step 230/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 230, 'train_loss': 5.9705791500164196e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-IuHyLYjSYzQGqkoqEOMxSUqy', created_at=1738493988, level='info', message='Step 229/300: training loss=0.07', object='fine_tuning.job.event', data={'step': 229, 'train_loss': 0.0737418681383133, 'total_steps': 300, 'train_mean_token_accuracy': 0.9821428656578064}, type='metrics')

FineTuningJobEvent(id='ftevent-qvhotb2ah9yQ4Y01y3cJQPvv', created_at=1738493986, level='info', message='Step 228/300: training loss=0.10', object='fine_tuning.job.event', data={'step': 228, 'train_loss': 0.09972088783979416, 'total_steps': 300, 'train_mean_token_accuracy': 0.9710144996643066}, type='metrics')

FineTuningJobEvent(id='ftevent-reDMS3d3gKhgtNcde5IMlpEE', created_at=1738493984, level='info', message='Step 227/300: training loss=0.01', object='fine_tuning.job.event', data={'step': 227, 'train_loss': 0.013097099028527737, 'total_steps': 300, 'train_mean_token_accuracy': 0.9936708807945251}, type='metrics')

FineTuningJobEvent(id='ftevent-L65eNwA2kQ3ujJmPfj1HFIwI', created_at=1738493984, level='info', message='Step 226/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 226, 'train_loss': 0.00026332971174269915, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-0S5dBmFj3rCjSot8QnSM1Dfm', created_at=1738493982, level='info', message='Step 225/300: training loss=0.05', object='fine_tuning.job.event', data={'step': 225, 'train_loss': 0.04988450929522514, 'total_steps': 300, 'train_mean_token_accuracy': 0.9863945841789246}, type='metrics')

FineTuningJobEvent(id='ftevent-p8bgwhhBHkEVrBV3n2zOQBCI', created_at=1738493980, level='info', message='Step 224/300: training loss=0.15', object='fine_tuning.job.event', data={'step': 224, 'train_loss': 0.14732995629310608, 'total_steps': 300, 'train_mean_token_accuracy': 0.982300877571106}, type='metrics') 

FineTuningJobEvent(id='ftevent-SC2Y0FL2EDc9uii9ozUlNd9m', created_at=1738493978, level='info', message='Step 223/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 223, 'train_loss': 0.0007794743869453669, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-pLM9LbcEL1pdhLAhWGoDiTBP', created_at=1738493978, level='info', message='Step 222/300: training loss=0.03', object='fine_tuning.job.event', data={'step': 222, 'train_loss': 0.027209732681512833, 'total_steps': 300, 'train_mean_token_accuracy': 0.995121955871582}, type='metrics')

FineTuningJobEvent(id='ftevent-SYIB2RruQ0jj6FxWCTgnyL7M', created_at=1738493976, level='info', message='Step 221/300: training loss=0.00', object='fine_tuning.job.event', data={'step': 221, 'train_loss': 3.8623809814453125e-05, 'total_steps': 300, 'train_mean_token_accuracy': 1.0}, type='metrics')

FineTuningJobEvent(id='ftevent-R5PXAnVGTtQpURiKIMOU7OnD', created_at=1738493974, level='info', message='Step 220/300: training loss=0.08', object='fine_tuning.job.event', data={'step': 220, 'train_loss': 0.07830263674259186, 'total_steps': 300, 'train_mean_token_accuracy': 0.9709091186523438}, type='metrics')

